Joueur,Équipe,Kills,Deaths,Assists,ADR,HS%,KAST%,Rating
apEX,Vitality,22,18,7,82.5,48.2,71.4,1.15
ZywOo,Vitality,28,15,9,95.3,52.1,78.6,1.42
Spinx,Vitality,19,17,8,78.9,45.7,69.2,1.08
Magisk,Vitality,21,19,6,81.2,49.5,73.8,1.12
flameZ,Vitality,24,16,11,88.7,51.3,76.9,1.28
kyxsan,Gentlemates,18,22,5,72.4,43.8,65.3,0.92
SENER1,Gentlemates,20,23,7,76.1,46.2,68.7,0.96
misutaaa,Gentlemates,16,24,9,68.9,41.5,62.4,0.84
Lucky,Gentlemates,17,21,6,70.3,44.1,64.9,0.88
bodyy,Gentlemates,15,25,8,65.7,39.8,59.2,0.79
